; clear, cloudy, storm, blizzard, light fog, heavy fog
; sunrise, morning, midday, afternoon, sunset

;DO NEVER EVER! PUT TWO CUSTOM TILES IN THE SAME REGION, OTHERWISE THE SOUND AND I AM GOING CRAZY!!!!! K :( K
;
;EDIT: USE ANY OTHER PROVINCE NAME INSTEAD!!! :)

;Elimya					137	120 mp_map_01.wfc		clear		midday
Belerion				62	238 belerion.wfc		cloudy		sunset
Umbria					134	173	umbria.wfc			clear		midday

Peloponnesos			180	134	zeus.wfc			clear		sunrise
Albion					66	234	stonehenge.wfc		storm		morning
Karia					211	135	halicarnassus.wfc	cloudy		morning
Ionia					210	137	artemis.wfc			cloudy		morning
Rhodos					213	128	colossus.wfc		clear		sunrise
Babylonia				313	121	gardens.wfc			dusty		morning
Delta_Neilou			233	96	pharos.wfc			cloudy		sunset
Heptanomis				237	89	pyramids.wfc		clear		sunrise



;region_067	181	285	port_cul_5_temperate_deciduous_forest_var_3.wfc	clear	midday
;region_002	74	270	port_cul_5_temperate_deciduous_forest_var_3.wfc	clear	midday
region_001	56	257	port_cul_5_temperate_deciduous_forest_var_2.wfc	clear	midday
region_004	77	257	port_cul_5_temperate_deciduous_forest_var_3.wfc	clear	midday
region_057	130	255	port_cul_5_temperate_deciduous_forest_var_1.wfc	clear	midday
region_066	160	253	port_cul_5_temperate_deciduous_forest_var_2.wfc	clear	midday
;region_061	156	250	port_cul_5_temperate_deciduous_forest_var_3.wfc	clear	midday
region_055	128	248	port_cul_5_temperate_deciduous_beech_forest_var_3.wfc	clear	midday
region_056	114	245	port_cul_5_temperate_deciduous_beech_forest_var_3.wfc	clear	midday
region_052	96	240	port_cul_5_temperate_deciduous_forest_var_3.wfc	clear	midday
;region_155	308	239	port_cul_6_semi_arid_var_2.wfc	clear	midday
;	(Belerion)	region_005	62	238	port_cul_5_temperate_deciduous_forest_var_3.wfc	clear	midday
;region_151	318	238	port_cul_6_semi_arid_var_3.wfc	clear	midday
;region_034	96	237	port_cul_5_temperate_deciduous_forest_var_3.wfc	clear	midday
region_008	81	235	port_cul_5_temperate_deciduous_forest_var_3.wfc	clear	midday
;	(Albion)	region_007	66	231	port_cul_5_temperate_deciduous_forest_var_1.wfc	clear	midday
region_027	85	230	port_cul_5_temperate_deciduous_forest_var_3.wfc	clear	midday
;region_181	299	223	port_cul_6_semi_arid_var_3.wfc	clear	midday
;region_153	321	223	port_cul_4_semi_arid_var_3.wfc	clear	midday
region_020	69	222	port_cul_5_temperate_deciduous_beech_forest_var_1.wfc	clear	midday
region_026	72	221	port_cul_5_temperate_deciduous_forest_var_3.wfc	clear	midday
;region_070	222	202	port_cul_3_steppe_var_2.wfc	clear	midday
region_021	62	198	port_cul_5_temperate_deciduous_forest_var_1.wfc	clear	midday
region_161	225	198	port_cul_3_steppe_var_1.wfc	clear	midday
;region_160	256	198	port_cul_6_temperate_deciduous_forest_var_1.wfc	clear	midday
region_177	213	197	port_cul_1_steppe_var_1.wfc	clear	midday
region_162	239	197	port_cul_3_temperate_deciduous_forest_var_3.wfc	clear	midday
region_154	351	197	port_cul_4_rocky_desert_var_3.wfc	clear	midday
region_113	326	196	port_cul_4_mediterranean_var_2.wfc	clear	midday
;region_009	22	190	port_cul_5_temperate_deciduous_forest_var_3.wfc	clear	midday
region_110	275	190	port_cul_4_temperate_deciduous_forest_var_3.wfc	clear	midday
region_074	133	189	port_cul_5_temperate_deciduous_forest_var_1.wfc	clear	midday
region_022	60	188	port_cul_5_temperate_deciduous_forest_var_2.wfc	clear	midday
